lags,neurons,rmse
1,2,0.00021220403152341188
1,4,0.00021522204442321204
1,6,0.00019996684898109836
1,8,0.00016610880706749415
1,10,0.00016591116911233498
1,12,0.00016606363856980843
1,14,0.0001681811465909381
1,16,0.00016584365503752492
1,18,0.00016553201692023886
1,20,0.00017006602341182418
2,2,0.00016322174792761902
2,4,0.0001639673879994489
2,6,0.00016419305958634568
2,8,0.00016459161230816956
2,10,0.00016470302275301427
2,12,0.0001638396170097482
2,14,0.00016747680467854107
2,16,0.00016682942469897454
2,18,0.00016628619241257302
2,20,0.00016401115744415847
3,2,0.00015987402717188766
3,4,0.00016391806660884863
3,6,0.00016353547373356103
3,8,0.00016282258247234729
3,10,0.00016240746080792626
3,12,0.00015978829479600944
3,14,0.00016070034033911543
3,16,0.0001684761003141317
3,18,0.00016521099959042166
3,20,0.00016103948808749458
4,2,0.00015931064680511328
4,4,0.0001638257058529874
4,6,0.00016277857658198588
4,8,0.00016316350750105048
4,10,0.00015987298565932863
4,12,0.00015746908567366172
4,14,0.00016002488827005399
4,16,0.00016852468683318443
4,18,0.0001615207217171476
4,20,0.00015982172201904838
5,2,0.00016183207053657438
5,4,0.0001645727895483217
5,6,0.00016227915375827207
5,8,0.0001641251550057177
5,10,0.000159385088746113
5,12,0.0001571387340368817
5,14,0.0001624272682675239
5,16,0.00016324462678663705
5,18,0.00016171062660614102
5,20,0.0001601992877327552
6,2,0.00015867698744495809
6,4,0.00016333834629401233
6,6,0.00016065945812127142
6,8,0.0001608654076980423
6,10,0.00015841376107075708
6,12,0.0001580527937091848
6,14,0.00015988299155980426
6,16,0.00016309297921993275
6,18,0.00015996527690346774
6,20,0.00015750531959642114
